month_year,month,year,price_gas,price_oil,t_month,t
Jan 1997,1,1997,3.45,23.54,1,1997
Feb 1997,2,1997,2.15,20.85,2,1997.0833333333333
Mar 1997,3,1997,1.89,19.13,3,1997.1666666666667
Apr 1997,4,1997,2.03,17.56,4,1997.25
May 1997,5,1997,2.25,19.02,5,1997.3333333333333
Jun 1997,6,1997,2.2,17.58,6,1997.4166666666667
Jul 1997,7,1997,2.19,18.46,7,1997.5
Aug 1997,8,1997,2.49,18.6,8,1997.5833333333333
Sep 1997,9,1997,2.88,18.46,9,1997.6666666666667
Oct 1997,10,1997,3.07,19.87,10,1997.75
Nov 1997,11,1997,3.01,19.17,11,1997.8333333333333
Dec 1997,12,1997,2.35,17.18,12,1997.9166666666667
Jan 1998,1,1998,2.09,15.19,13,1998
Feb 1998,2,1998,2.23,14.07,14,1998.0833333333333
Mar 1998,3,1998,2.24,13.1,15,1998.1666666666667
Apr 1998,4,1998,2.43,13.53,16,1998.25
May 1998,5,1998,2.14,14.36,17,1998.3333333333333
Jun 1998,6,1998,2.17,12.21,18,1998.4166666666667
Jul 1998,7,1998,2.17,12.08,19,1998.5
Aug 1998,8,1998,1.85,11.91,20,1998.5833333333333
Sep 1998,9,1998,2.02,13.34,21,1998.6666666666667
Oct 1998,10,1998,1.91,12.7,22,1998.75
Nov 1998,11,1998,2.12,11.04,23,1998.8333333333333
Dec 1998,12,1998,1.72,9.82,24,1998.9166666666667
Jan 1999,1,1999,1.85,11.11,25,1999
Feb 1999,2,1999,1.77,10.27,26,1999.0833333333333
Mar 1999,3,1999,1.79,12.51,27,1999.1666666666667
Apr 1999,4,1999,2.15,15.29,28,1999.25
May 1999,5,1999,2.26,15.23,29,1999.3333333333333
Jun 1999,6,1999,2.3,15.86,30,1999.4166666666667
Jul 1999,7,1999,2.31,19.08,31,1999.5
Aug 1999,8,1999,2.8,20.22,32,1999.5833333333333
Sep 1999,9,1999,2.55,22.54,33,1999.6666666666667
Oct 1999,10,1999,2.73,22,34,1999.75
Nov 1999,11,1999,2.37,24.58,35,1999.8333333333333
Dec 1999,12,1999,2.36,25.47,36,1999.9166666666667
Jan 2000,1,2000,2.42,25.51,37,2000
Feb 2000,2,2000,2.66,27.78,38,2000.0833333333333
Mar 2000,3,2000,2.79,27.49,39,2000.1666666666667
Apr 2000,4,2000,3.04,22.76,40,2000.25
May 2000,5,2000,3.59,27.74,41,2000.3333333333333
Jun 2000,6,2000,4.29,29.8,42,2000.4166666666667
Jul 2000,7,2000,3.99,28.68,43,2000.5
Aug 2000,8,2000,4.43,30.2,44,2000.5833333333333
Sep 2000,9,2000,5.06,33.14,45,2000.6666666666667
Oct 2000,10,2000,5.02,30.96,46,2000.75
Nov 2000,11,2000,5.52,32.55,47,2000.8333333333333
Dec 2000,12,2000,8.9,25.66,48,2000.9166666666667
Jan 2001,1,2001,8.17,25.62,49,2001
Feb 2001,2,2001,5.61,27.5,50,2001.0833333333333
Mar 2001,3,2001,5.23,24.5,51,2001.1666666666667
Apr 2001,4,2001,5.19,25.66,52,2001.25
May 2001,5,2001,4.19,28.31,53,2001.3333333333333
Jun 2001,6,2001,3.72,27.85,54,2001.4166666666667
Jul 2001,7,2001,3.11,24.61,55,2001.5
Aug 2001,8,2001,2.97,25.68,56,2001.5833333333333
Sep 2001,9,2001,2.19,25.62,57,2001.6666666666667
Oct 2001,10,2001,2.46,20.54,58,2001.75
Nov 2001,11,2001,2.34,18.8,59,2001.8333333333333
Dec 2001,12,2001,2.3,18.71,60,2001.9166666666667
Jan 2002,1,2002,2.32,19.42,61,2002
Feb 2002,2,2002,2.32,20.28,62,2002.0833333333333
Mar 2002,3,2002,3.03,23.7,63,2002.1666666666667
Apr 2002,4,2002,3.43,25.73,64,2002.25
May 2002,5,2002,3.5,25.35,65,2002.3333333333333
Jun 2002,6,2002,3.26,24.08,66,2002.4166666666667
Jul 2002,7,2002,2.99,25.74,67,2002.5
Aug 2002,8,2002,3.09,26.65,68,2002.5833333333333
Sep 2002,9,2002,3.55,28.4,69,2002.6666666666667
Oct 2002,10,2002,4.13,27.54,70,2002.75
Nov 2002,11,2002,4.04,24.34,71,2002.8333333333333
Dec 2002,12,2002,4.74,28.33,72,2002.9166666666667
Jan 2003,1,2003,5.43,31.18,73,2003
Feb 2003,2,2003,7.71,32.77,74,2003.0833333333333
Mar 2003,3,2003,5.93,30.61,75,2003.1666666666667
Apr 2003,4,2003,5.26,25,76,2003.25
May 2003,5,2003,5.81,25.86,77,2003.3333333333333
Jun 2003,6,2003,5.82,27.65,78,2003.4166666666667
Jul 2003,7,2003,5.03,28.35,79,2003.5
Aug 2003,8,2003,4.99,29.89,80,2003.5833333333333
Sep 2003,9,2003,4.62,27.11,81,2003.6666666666667
Oct 2003,10,2003,4.63,29.61,82,2003.75
Nov 2003,11,2003,4.47,28.75,83,2003.8333333333333
Dec 2003,12,2003,6.13,29.81,84,2003.9166666666667
Jan 2004,1,2004,6.14,31.28,85,2004
Feb 2004,2,2004,5.37,30.86,86,2004.0833333333333
Mar 2004,3,2004,5.39,33.63,87,2004.1666666666667
Apr 2004,4,2004,5.71,33.59,88,2004.25
May 2004,5,2004,6.33,37.57,89,2004.3333333333333
Jun 2004,6,2004,6.27,35.18,90,2004.4166666666667
Jul 2004,7,2004,5.93,38.22,91,2004.5
Aug 2004,8,2004,5.41,42.74,92,2004.5833333333333
Sep 2004,9,2004,5.15,43.2,93,2004.6666666666667
Oct 2004,10,2004,6.35,49.78,94,2004.75
Nov 2004,11,2004,6.17,43.11,95,2004.8333333333333
Dec 2004,12,2004,6.58,39.6,96,2004.9166666666667
Jan 2005,1,2005,6.15,44.51,97,2005
Feb 2005,2,2005,6.14,45.48,98,2005.0833333333333
Mar 2005,3,2005,6.96,53.1,99,2005.1666666666667
Apr 2005,4,2005,7.16,51.88,100,2005.25
May 2005,5,2005,6.47,48.65,101,2005.3333333333333
Jun 2005,6,2005,7.18,54.35,102,2005.4166666666667
Jul 2005,7,2005,7.63,57.52,103,2005.5
Aug 2005,8,2005,9.53,63.98,104,2005.5833333333333
Sep 2005,9,2005,11.75,62.91,105,2005.6666666666667
Oct 2005,10,2005,13.42,58.54,106,2005.75
Nov 2005,11,2005,10.3,55.24,107,2005.8333333333333
Dec 2005,12,2005,13.05,56.86,108,2005.9166666666667
Jan 2006,1,2006,8.69,62.99,109,2006
Feb 2006,2,2006,7.54,60.21,110,2006.0833333333333
Mar 2006,3,2006,6.89,62.06,111,2006.1666666666667
Apr 2006,4,2006,7.16,70.26,112,2006.25
May 2006,5,2006,6.25,69.78,113,2006.3333333333333
Jun 2006,6,2006,6.21,68.56,114,2006.4166666666667
Jul 2006,7,2006,6.17,73.67,115,2006.5
Aug 2006,8,2006,7.14,73.23,116,2006.5833333333333
Sep 2006,9,2006,4.9,61.96,117,2006.6666666666667
Oct 2006,10,2006,5.85,57.81,118,2006.75
Nov 2006,11,2006,7.41,58.76,119,2006.8333333333333
Dec 2006,12,2006,6.73,62.47,120,2006.9166666666667
Jan 2007,1,2007,6.55,53.68,121,2007
Feb 2007,2,2007,8,57.56,122,2007.0833333333333
Mar 2007,3,2007,7.11,62.05,123,2007.1666666666667
Apr 2007,4,2007,7.6,67.49,124,2007.25
May 2007,5,2007,7.64,67.21,125,2007.3333333333333
Jun 2007,6,2007,7.35,71.05,126,2007.4166666666667
Jul 2007,7,2007,6.22,76.93,127,2007.5
Aug 2007,8,2007,6.22,70.76,128,2007.5833333333333
Sep 2007,9,2007,6.08,77.17,129,2007.6666666666667
Oct 2007,10,2007,6.74,82.34,130,2007.75
Nov 2007,11,2007,7.1,92.41,131,2007.8333333333333
Dec 2007,12,2007,7.11,90.93,132,2007.9166666666667
Jan 2008,1,2008,7.99,92.18,133,2008
Feb 2008,2,2008,8.54,94.99,134,2008.0833333333333
Mar 2008,3,2008,9.41,103.64,135,2008.1666666666667
Apr 2008,4,2008,10.18,109.07,136,2008.25
May 2008,5,2008,11.27,122.8,137,2008.3333333333333
Jun 2008,6,2008,12.69,132.32,138,2008.4166666666667
Jul 2008,7,2008,11.09,132.72,139,2008.5
Aug 2008,8,2008,8.26,113.24,140,2008.5833333333333
Sep 2008,9,2008,7.67,97.23,141,2008.6666666666667
Oct 2008,10,2008,6.74,71.58,142,2008.75
Nov 2008,11,2008,6.68,52.45,143,2008.8333333333333
Dec 2008,12,2008,5.82,39.95,144,2008.9166666666667
Jan 2009,1,2009,5.24,43.44,145,2009
Feb 2009,2,2009,4.52,43.32,146,2009.0833333333333
Mar 2009,3,2009,3.96,46.54,147,2009.1666666666667
Apr 2009,4,2009,3.5,50.18,148,2009.25
May 2009,5,2009,3.83,57.3,149,2009.3333333333333
Jun 2009,6,2009,3.8,68.61,150,2009.4166666666667
Jul 2009,7,2009,3.38,64.44,151,2009.5
Aug 2009,8,2009,3.14,72.51,152,2009.5833333333333
Sep 2009,9,2009,2.99,67.65,153,2009.6666666666667
Oct 2009,10,2009,4.01,72.77,154,2009.75
Nov 2009,11,2009,3.66,76.66,155,2009.8333333333333
Dec 2009,12,2009,5.35,74.46,156,2009.9166666666667
Jan 2010,1,2010,5.83,76.17,157,2010
Feb 2010,2,2010,5.32,73.75,158,2010.0833333333333
Mar 2010,3,2010,4.29,78.83,159,2010.1666666666667
Apr 2010,4,2010,4.03,84.82,160,2010.25
May 2010,5,2010,4.14,75.95,161,2010.3333333333333
Jun 2010,6,2010,4.8,74.76,162,2010.4166666666667
Jul 2010,7,2010,4.63,75.58,163,2010.5
Aug 2010,8,2010,4.32,77.04,164,2010.5833333333333
Sep 2010,9,2010,3.89,77.84,165,2010.6666666666667
Oct 2010,10,2010,3.43,82.67,166,2010.75
Nov 2010,11,2010,3.71,85.28,167,2010.8333333333333
Dec 2010,12,2010,4.25,91.45,168,2010.9166666666667
Jan 2011,1,2011,4.49,96.52,169,2011
Feb 2011,2,2011,4.09,103.72,170,2011.0833333333333
Mar 2011,3,2011,3.97,114.64,171,2011.1666666666667
Apr 2011,4,2011,4.24,123.26,172,2011.25
May 2011,5,2011,4.31,114.99,173,2011.3333333333333
Jun 2011,6,2011,4.54,113.83,174,2011.4166666666667
Jul 2011,7,2011,4.42,116.97,175,2011.5
Aug 2011,8,2011,4.06,110.22,176,2011.5833333333333
Sep 2011,9,2011,3.9,112.83,177,2011.6666666666667
Oct 2011,10,2011,3.57,109.55,178,2011.75
Nov 2011,11,2011,3.24,110.77,179,2011.8333333333333
Dec 2011,12,2011,3.17,107.87,180,2011.9166666666667
Jan 2012,1,2012,2.67,110.69,181,2012
Feb 2012,2,2012,2.51,119.33,182,2012.0833333333333
Mar 2012,3,2012,2.17,125.45,183,2012.1666666666667
Apr 2012,4,2012,1.95,119.75,184,2012.25
May 2012,5,2012,2.43,110.34,185,2012.3333333333333
Jun 2012,6,2012,2.46,95.16,186,2012.4166666666667
Jul 2012,7,2012,2.95,102.62,187,2012.5
Aug 2012,8,2012,2.84,113.36,188,2012.5833333333333
Sep 2012,9,2012,2.85,112.86,189,2012.6666666666667
Oct 2012,10,2012,3.32,111.71,190,2012.75
Nov 2012,11,2012,3.54,109.06,191,2012.8333333333333
Dec 2012,12,2012,3.34,109.49,192,2012.9166666666667
Jan 2013,1,2013,3.33,112.96,193,2013
Feb 2013,2,2013,3.33,116.05,194,2013.0833333333333
Mar 2013,3,2013,3.81,108.47,195,2013.1666666666667
Apr 2013,4,2013,4.17,102.25,196,2013.25
May 2013,5,2013,4.04,102.56,197,2013.3333333333333
Jun 2013,6,2013,3.83,102.92,198,2013.4166666666667
Jul 2013,7,2013,3.62,107.93,199,2013.5
Aug 2013,8,2013,3.43,111.28,200,2013.5833333333333
Sep 2013,9,2013,3.62,111.6,201,2013.6666666666667
Oct 2013,10,2013,3.68,109.08,202,2013.75
Nov 2013,11,2013,3.64,107.79,203,2013.8333333333333
Dec 2013,12,2013,4.24,110.76,204,2013.9166666666667
Jan 2014,1,2014,4.71,108.12,205,2014
Feb 2014,2,2014,6,108.9,206,2014.0833333333333
Mar 2014,3,2014,4.9,107.48,207,2014.1666666666667
Apr 2014,4,2014,4.66,107.76,208,2014.25
May 2014,5,2014,4.58,109.54,209,2014.3333333333333
Jun 2014,6,2014,4.59,111.8,210,2014.4166666666667
Jul 2014,7,2014,4.05,106.77,211,2014.5
Aug 2014,8,2014,3.91,101.61,212,2014.5833333333333
Sep 2014,9,2014,3.92,97.09,213,2014.6666666666667
Oct 2014,10,2014,3.78,87.43,214,2014.75
Nov 2014,11,2014,4.12,79.44,215,2014.8333333333333
Dec 2014,12,2014,3.48,62.34,216,2014.9166666666667
Jan 2015,1,2015,2.99,47.76,217,2015
Feb 2015,2,2015,2.87,58.1,218,2015.0833333333333
Mar 2015,3,2015,2.83,55.89,219,2015.1666666666667
Apr 2015,4,2015,2.61,59.52,220,2015.25
May 2015,5,2015,2.85,64.08,221,2015.3333333333333
Jun 2015,6,2015,2.78,61.48,222,2015.4166666666667
Jul 2015,7,2015,2.84,56.56,223,2015.5
Aug 2015,8,2015,2.77,46.52,224,2015.5833333333333
Sep 2015,9,2015,2.66,47.62,225,2015.6666666666667
Oct 2015,10,2015,2.34,48.43,226,2015.75
Nov 2015,11,2015,2.09,44.27,227,2015.8333333333333
Dec 2015,12,2015,1.93,38.01,228,2015.9166666666667
Jan 2016,1,2016,2.28,30.7,229,2016
Feb 2016,2,2016,1.99,32.18,230,2016.0833333333333
Mar 2016,3,2016,1.73,38.21,231,2016.1666666666667
Apr 2016,4,2016,1.92,41.58,232,2016.25
May 2016,5,2016,1.92,46.74,233,2016.3333333333333
Jun 2016,6,2016,2.59,48.25,234,2016.4166666666667
Jul 2016,7,2016,2.82,44.95,235,2016.5
Aug 2016,8,2016,2.82,45.84,236,2016.5833333333333
Sep 2016,9,2016,2.99,46.57,237,2016.6666666666667
Oct 2016,10,2016,2.98,49.52,238,2016.75
Nov 2016,11,2016,2.55,44.73,239,2016.8333333333333
Dec 2016,12,2016,3.59,53.31,240,2016.9166666666667
Jan 2017,1,2017,3.3,54.58,241,2017
Feb 2017,2,2017,2.85,54.87,242,2017.0833333333333
Mar 2017,3,2017,2.88,51.59,243,2017.1666666666667
Apr 2017,4,2017,3.1,52.31,244,2017.25
May 2017,5,2017,3.15,50.33,245,2017.3333333333333
Jun 2017,6,2017,2.98,46.37,246,2017.4166666666667
Jul 2017,7,2017,2.98,48.48,247,2017.5
Aug 2017,8,2017,2.9,51.7,248,2017.5833333333333
Sep 2017,9,2017,2.98,56.15,249,2017.6666666666667
Oct 2017,10,2017,2.88,57.51,250,2017.75
Nov 2017,11,2017,3.01,62.71,251,2017.8333333333333
Dec 2017,12,2017,2.82,64.37,252,2017.9166666666667
Jan 2018,1,2018,3.87,69.08,253,2018
Feb 2018,2,2018,2.67,65.32,254,2018.0833333333333
Mar 2018,3,2018,2.69,66.02,255,2018.1666666666667
Apr 2018,4,2018,2.8,72.11,256,2018.25
May 2018,5,2018,2.8,76.98,257,2018.3333333333333
Jun 2018,6,2018,2.97,74.41,258,2018.4166666666667
Jul 2018,7,2018,2.83,74.25,259,2018.5
Aug 2018,8,2018,2.96,72.53,260,2018.5833333333333
Sep 2018,9,2018,3,78.89,261,2018.6666666666667
Oct 2018,10,2018,3.28,81.03,262,2018.75
Nov 2018,11,2018,4.09,64.75,263,2018.8333333333333
Dec 2018,12,2018,4.04,57.36,264,2018.9166666666667
Jan 2019,1,2019,3.11,59.41,265,2019
